x,y,z
345709.799,173727,32.361
345709.62,173727,33.222
345709.51,173727,32.332
345709.43,173727,32.569
345709.23,173727,33.055
345709.09,173727,32.54
345708.98,173727,31.949
345708.88,173727,31.846
345708.72,173727,31.942
345708.63,173727,32.309
345708.45,173727,33.108
345708.32,173728,33.15
345708.21,173728,32.283
345708.08,173728,31.902
345707.96,173728,33.266
345707.83,173728,32.109
345707.69,173728,31.899
345707.55,173728,31.817
345707.44,173728,31.783
345707.31,173728,31.836
345707.12,173728,31.879
